provinsi;tahun;klasifikasi;lpe_tw1;lpe_tw2;lpe_tw3;lpe_tw4;lpe_ctc;kontribusi;pdrb_perkapita;inflasi;pma;pmdn;ekspor_top3;naker_top;ipm;kemiskinan;tpt;gini;interpretasi_ekonomi_riil;rekomendasi_ekonomi_riil
Aceh;2021;Daerah Relatif Tertinggal;-1.9;2.6;3.0;7.4;2.8;1.1;34.7;2.2;203.3;7904.7;-;"Pertanian; Perdagangan; Industri";73.5;15.5;6.3;0.323;Ekonomi Aceh masih bertumpu pada sektor Pertanian dan Administrasi Pemerintahan. Setelah penurunan peran migas, struktur ekonomi belum sepenuhnya memperoleh mesin pertumbuhan baru yang kuat. Ketergantungan pada dana otonomi khusus juga membuat dorongan ekonomi riil belum optimal, sementara peran industri pengolahan masih terbatas.;Aceh perlu mendorong transformasi ke agroindustri berbasis ekspor. Fokus pembangunan perlu diarahkan pada hilirisasi komoditas unggulan (kopi, nilam, sawit) melalui optimalisasi KEK. Disisi lain, Aceh perlu memperkuat positioning  dalam ekonomi syariah, baik pariwisata halal maupun keuangan syariah, serta membuka akses pasar melalui penguatan pelabuhan Sabang.
Aceh;2022;Daerah Relatif Tertinggal;4.2;4.5;2.5;5.6;4.2;1.1;38.8;5.9;127.6;4424.2;-;"Pertanian; Perdagangan; Jasa Pendidikan";74.1;14.8;6.2;0.291;Ekonomi Aceh masih bertumpu pada sektor Pertanian dan Administrasi Pemerintahan. Setelah penurunan peran migas, struktur ekonomi belum sepenuhnya memperoleh mesin pertumbuhan baru yang kuat. Ketergantungan pada dana otonomi khusus juga membuat dorongan ekonomi riil belum optimal, sementara peran industri pengolahan masih terbatas.;Aceh perlu mendorong transformasi ke agroindustri berbasis ekspor. Fokus pembangunan perlu diarahkan pada hilirisasi komoditas unggulan (kopi, nilam, sawit) melalui optimalisasi KEK. Disisi lain, Aceh perlu memperkuat positioning  dalam ekonomi syariah, baik pariwisata halal maupun keuangan syariah, serta membuka akses pasar melalui penguatan pelabuhan Sabang.
Aceh;2023;Daerah Relatif Tertinggal;4.6;4.4;3.8;4.1;4.2;1.1;41.4;1.5;249.0;8883.0;-;"Pertanian; Perdagangan; Konstruksi";74.7;-;6.0;-;Ekonomi Aceh masih bertumpu pada sektor Pertanian dan Administrasi Pemerintahan. Setelah penurunan peran migas, struktur ekonomi belum sepenuhnya memperoleh mesin pertumbuhan baru yang kuat. Ketergantungan pada dana otonomi khusus juga membuat dorongan ekonomi riil belum optimal, sementara peran industri pengolahan masih terbatas.;Aceh perlu mendorong transformasi ke agroindustri berbasis ekspor. Fokus pembangunan perlu diarahkan pada hilirisasi komoditas unggulan (kopi, nilam, sawit) melalui optimalisasi KEK. Disisi lain, Aceh perlu memperkuat positioning  dalam ekonomi syariah, baik pariwisata halal maupun keuangan syariah, serta membuka akses pasar melalui penguatan pelabuhan Sabang.
Aceh;2024;Daerah Relatif Tertinggal;4.8;4.5;5.1;4.2;4.7;1.1;43.8;2.2;77.0;8317.0;-;"Pertanian; Perdagangan; Industri";75.4;12.6;5.8;0.294;Ekonomi Aceh masih bertumpu pada sektor Pertanian dan Administrasi Pemerintahan. Setelah penurunan peran migas, struktur ekonomi belum sepenuhnya memperoleh mesin pertumbuhan baru yang kuat. Ketergantungan pada dana otonomi khusus juga membuat dorongan ekonomi riil belum optimal, sementara peran industri pengolahan masih terbatas.;Aceh perlu mendorong transformasi ke agroindustri berbasis ekspor. Fokus pembangunan perlu diarahkan pada hilirisasi komoditas unggulan (kopi, nilam, sawit) melalui optimalisasi KEK. Disisi lain, Aceh perlu memperkuat positioning  dalam ekonomi syariah, baik pariwisata halal maupun keuangan syariah, serta membuka akses pasar melalui penguatan pelabuhan Sabang.
Aceh;2025;Daerah Relatif Tertinggal;4.6;4.8;4.5;-1.6;3.0;1.1;45.8;6.7;34.0;8463.0;"Bahan bakar mineral (batubara); Kopi dan Rempah-Rempah; Lemak dan Minyak Hewan/Nabati";"Pertanian; Perdagangan; Jasa Pendidikan";76.2;12.2;5.6;0.274;Ekonomi Aceh masih bertumpu pada sektor Pertanian dan Administrasi Pemerintahan. Setelah penurunan peran migas, struktur ekonomi belum sepenuhnya memperoleh mesin pertumbuhan baru yang kuat. Ketergantungan pada dana otonomi khusus juga membuat dorongan ekonomi riil belum optimal, sementara peran industri pengolahan masih terbatas.;Aceh perlu mendorong transformasi ke agroindustri berbasis ekspor. Fokus pembangunan perlu diarahkan pada hilirisasi komoditas unggulan (kopi, nilam, sawit) melalui optimalisasi KEK. Disisi lain, Aceh perlu memperkuat positioning  dalam ekonomi syariah, baik pariwisata halal maupun keuangan syariah, serta membuka akses pasar melalui penguatan pelabuhan Sabang.
Aceh;2026;Daerah Relatif Tertinggal;4.1;-;-;-;4.1;-;-;0.0;-;-;-;-;-;-;-;-;Ekonomi Aceh masih bertumpu pada sektor Pertanian dan Administrasi Pemerintahan. Setelah penurunan peran migas, struktur ekonomi belum sepenuhnya memperoleh mesin pertumbuhan baru yang kuat. Ketergantungan pada dana otonomi khusus juga membuat dorongan ekonomi riil belum optimal, sementara peran industri pengolahan masih terbatas.;Aceh perlu mendorong transformasi ke agroindustri berbasis ekspor. Fokus pembangunan perlu diarahkan pada hilirisasi komoditas unggulan (kopi, nilam, sawit) melalui optimalisasi KEK. Disisi lain, Aceh perlu memperkuat positioning  dalam ekonomi syariah, baik pariwisata halal maupun keuangan syariah, serta membuka akses pasar melalui penguatan pelabuhan Sabang.
Sumatera Utara;2011;Daerah Relatif Tertinggal;6.5;6.6;7.1;6.5;6.7;4.8;28.5;3.7;753.7;1673.0;-;"Pertanian; Jasa Lainnya; Perdagangan dan Akmamin";67.3;-;8.2;0.305;Sumatera Utara menjadi pusat ekonomi regional dengan kekuatan di sektor Perdagangan dan Industri Pengolahan. Namun, pertumbuhan belum merata, di wilayah pantai timur cenderung berkembang pesat, sementara wilayah pantai barat cenderung tertinggal. Di sisi lain, efisiensi logistik masih belum optimal untuk bersaing di kawasan Selat Malaka.;Sumatera Utara perlu memperkuat integrasi logistik dan hilirisasi sawit. Selain itu dapat maksimalkan peran Kuala Tanjung sebagai hub internasional, sekaligus mendorong keterhubungan antara perkebunan rakyat dan kawasan industri seperti Sei Mangkei agar hilirisasi benar-benar terjadi di dalam daerah.
Sumatera Utara;2012;Daerah Relatif Tertinggal;6.0;6.4;6.7;6.7;6.4;4.8;31.1;3.9;645.3;2550.3;-;"Pertanian; Jasa Lainnya; Industri";67.7;10.4;6.3;0.331;Sumatera Utara menjadi pusat ekonomi regional dengan kekuatan di sektor Perdagangan dan Industri Pengolahan. Namun, pertumbuhan belum merata, di wilayah pantai timur cenderung berkembang pesat, sementara wilayah pantai barat cenderung tertinggal. Di sisi lain, efisiensi logistik masih belum optimal untuk bersaing di kawasan Selat Malaka.;Sumatera Utara perlu memperkuat integrasi logistik dan hilirisasi sawit. Selain itu dapat maksimalkan peran Kuala Tanjung sebagai hub internasional, sekaligus mendorong keterhubungan antara perkebunan rakyat dan kawasan industri seperti Sei Mangkei agar hilirisasi benar-benar terjadi di dalam daerah.
Sumatera Utara;2013;Daerah Relatif Tertinggal;6.6;6.3;5.7;5.7;6.1;4.9;34.5;10.2;887.5;5068.9;-;"Pertanian; Jasa Lainnya; Perdagangan dan Akmamin";68.4;10.4;6.5;0.328;Sumatera Utara menjadi pusat ekonomi regional dengan kekuatan di sektor Perdagangan dan Industri Pengolahan. Namun, pertumbuhan belum merata, di wilayah pantai timur cenderung berkembang pesat, sementara wilayah pantai barat cenderung tertinggal. Di sisi lain, efisiensi logistik masih belum optimal untuk bersaing di kawasan Selat Malaka.;Sumatera Utara perlu memperkuat integrasi logistik dan hilirisasi sawit. Selain itu dapat maksimalkan peran Kuala Tanjung sebagai hub internasional, sekaligus mendorong keterhubungan antara perkebunan rakyat dan kawasan industri seperti Sei Mangkei agar hilirisasi benar-benar terjadi di dalam daerah.
Sumatera Utara;2014;Daerah Relatif Tertinggal;5.3;5.5;5.5;4.7;5.2;4.9;37.9;8.2;550.8;4223.9;-;"Pertanian; Jasa Lainnya; Perdagangan dan Akmamin";68.9;9.9;6.2;0.31;Sumatera Utara menjadi pusat ekonomi regional dengan kekuatan di sektor Perdagangan dan Industri Pengolahan. Namun, pertumbuhan belum merata, di wilayah pantai timur cenderung berkembang pesat, sementara wilayah pantai barat cenderung tertinggal. Di sisi lain, efisiensi logistik masih belum optimal untuk bersaing di kawasan Selat Malaka.;Sumatera Utara perlu memperkuat integrasi logistik dan hilirisasi sawit. Selain itu dapat maksimalkan peran Kuala Tanjung sebagai hub internasional, sekaligus mendorong keterhubungan antara perkebunan rakyat dan kawasan industri seperti Sei Mangkei agar hilirisasi benar-benar terjadi di dalam daerah.
Sumatera Utara;2015;Daerah Relatif Tertinggal;4.8;5.1;5.0;5.4;5.1;5.0;41.0;3.2;1246.1;4287.4;-;"Pertanian; Jasa Lainnya; Perdagangan dan Akmamin";69.5;10.8;6.7;0.326;Sumatera Utara menjadi pusat ekonomi regional dengan kekuatan di sektor Perdagangan dan Industri Pengolahan. Namun, pertumbuhan belum merata, di wilayah pantai timur cenderung berkembang pesat, sementara wilayah pantai barat cenderung tertinggal. Di sisi lain, efisiensi logistik masih belum optimal untuk bersaing di kawasan Selat Malaka.;Sumatera Utara perlu memperkuat integrasi logistik dan hilirisasi sawit. Selain itu dapat maksimalkan peran Kuala Tanjung sebagai hub internasional, sekaligus mendorong keterhubungan antara perkebunan rakyat dan kawasan industri seperti Sei Mangkei agar hilirisasi benar-benar terjadi di dalam daerah.
Sumatera Utara;2016;Daerah Relatif Tertinggal;4.7;5.5;5.3;5.2;5.2;5.0;44.4;6.3;1014.7;4864.2;-;"Pertanian; Jasa Lainnya; Perdagangan dan Akmamin";70.0;10.3;5.8;0.312;Sumatera Utara menjadi pusat ekonomi regional dengan kekuatan di sektor Perdagangan dan Industri Pengolahan. Namun, pertumbuhan belum merata, di wilayah pantai timur cenderung berkembang pesat, sementara wilayah pantai barat cenderung tertinggal. Di sisi lain, efisiensi logistik masih belum optimal untuk bersaing di kawasan Selat Malaka.;Sumatera Utara perlu memperkuat integrasi logistik dan hilirisasi sawit. Selain itu dapat maksimalkan peran Kuala Tanjung sebagai hub internasional, sekaligus mendorong keterhubungan antara perkebunan rakyat dan kawasan industri seperti Sei Mangkei agar hilirisasi benar-benar terjadi di dalam daerah.
Sumatera Utara;2017;Daerah Relatif Tertinggal;4.5;5.1;5.2;5.6;5.1;5.0;48.0;3.2;1514.9;11683.6;-;"Pertanian; Jasa Lainnya; Perdagangan dan Akmamin";70.6;9.3;5.6;0.335;Sumatera Utara menjadi pusat ekonomi regional dengan kekuatan di sektor Perdagangan dan Industri Pengolahan. Namun, pertumbuhan belum merata, di wilayah pantai timur cenderung berkembang pesat, sementara wilayah pantai barat cenderung tertinggal. Di sisi lain, efisiensi logistik masih belum optimal untuk bersaing di kawasan Selat Malaka.;Sumatera Utara perlu memperkuat integrasi logistik dan hilirisasi sawit. Selain itu dapat maksimalkan peran Kuala Tanjung sebagai hub internasional, sekaligus mendorong keterhubungan antara perkebunan rakyat dan kawasan industri seperti Sei Mangkei agar hilirisasi benar-benar terjadi di dalam daerah.
Sumatera Utara;2018;Daerah Relatif Tertinggal;4.7;5.3;5.4;5.3;5.2;5.0;51.4;1.2;1227.6;8371.8;-;"Pertanian; Perdagangan; Industri";71.2;8.9;5.6;0.311;Sumatera Utara menjadi pusat ekonomi regional dengan kekuatan di sektor Perdagangan dan Industri Pengolahan. Namun, pertumbuhan belum merata, di wilayah pantai timur cenderung berkembang pesat, sementara wilayah pantai barat cenderung tertinggal. Di sisi lain, efisiensi logistik masih belum optimal untuk bersaing di kawasan Selat Malaka.;Sumatera Utara perlu memperkuat integrasi logistik dan hilirisasi sawit. Selain itu dapat maksimalkan peran Kuala Tanjung sebagai hub internasional, sekaligus mendorong keterhubungan antara perkebunan rakyat dan kawasan industri seperti Sei Mangkei agar hilirisasi benar-benar terjadi di dalam daerah.
Sumatera Utara;2019;Daerah Relatif Tertinggal;5.3;5.3;5.1;5.2;5.2;5.1;54.6;1.4;379.5;19749.0;-;"Pertanian; Perdagangan; Industri";71.7;8.6;5.4;0.315;Sumatera Utara menjadi pusat ekonomi regional dengan kekuatan di sektor Perdagangan dan Industri Pengolahan. Namun, pertumbuhan belum merata, di wilayah pantai timur cenderung berkembang pesat, sementara wilayah pantai barat cenderung tertinggal. Di sisi lain, efisiensi logistik masih belum optimal untuk bersaing di kawasan Selat Malaka.;Sumatera Utara perlu memperkuat integrasi logistik dan hilirisasi sawit. Selain itu dapat maksimalkan peran Kuala Tanjung sebagai hub internasional, sekaligus mendorong keterhubungan antara perkebunan rakyat dan kawasan industri seperti Sei Mangkei agar hilirisasi benar-benar terjadi di dalam daerah.
Sumatera Utara;2020;Daerah Relatif Tertinggal;4.2;-2.8;-2.6;-2.9;-1.1;5.3;55.0;2.0;974.8;18189.5;-;"Pertanian; Perdagangan; Industri";73.6;9.1;6.9;0.314;Sumatera Utara menjadi pusat ekonomi regional dengan kekuatan di sektor Perdagangan dan Industri Pengolahan. Namun, pertumbuhan belum merata, di wilayah pantai timur cenderung berkembang pesat, sementara wilayah pantai barat cenderung tertinggal. Di sisi lain, efisiensi logistik masih belum optimal untuk bersaing di kawasan Selat Malaka.;Sumatera Utara perlu memperkuat integrasi logistik dan hilirisasi sawit. Selain itu dapat maksimalkan peran Kuala Tanjung sebagai hub internasional, sekaligus mendorong keterhubungan antara perkebunan rakyat dan kawasan industri seperti Sei Mangkei agar hilirisasi benar-benar terjadi di dalam daerah.
Sumatera Utara;2021;Daerah Relatif Tertinggal;-1.9;4.9;3.7;3.8;2.6;5.1;57.4;1.7;580.4;18484.5;-;"Pertanian; Perdagangan; Industri";73.8;8.5;6.3;0.313;Sumatera Utara menjadi pusat ekonomi regional dengan kekuatan di sektor Perdagangan dan Industri Pengolahan. Namun, pertumbuhan belum merata, di wilayah pantai timur cenderung berkembang pesat, sementara wilayah pantai barat cenderung tertinggal. Di sisi lain, efisiensi logistik masih belum optimal untuk bersaing di kawasan Selat Malaka.;Sumatera Utara perlu memperkuat integrasi logistik dan hilirisasi sawit. Selain itu dapat maksimalkan peran Kuala Tanjung sebagai hub internasional, sekaligus mendorong keterhubungan antara perkebunan rakyat dan kawasan industri seperti Sei Mangkei agar hilirisasi benar-benar terjadi di dalam daerah.
Sumatera Utara;2022;Daerah Relatif Tertinggal;3.9;4.7;5.0;5.3;4.7;4.9;62.9;6.1;1316.1;22789.2;-;"Pertanian; Perdagangan; Industri";74.5;8.3;6.2;0.326;Sumatera Utara menjadi pusat ekonomi regional dengan kekuatan di sektor Perdagangan dan Industri Pengolahan. Namun, pertumbuhan belum merata, di wilayah pantai timur cenderung berkembang pesat, sementara wilayah pantai barat cenderung tertinggal. Di sisi lain, efisiensi logistik masih belum optimal untuk bersaing di kawasan Selat Malaka.;Sumatera Utara perlu memperkuat integrasi logistik dan hilirisasi sawit. Selain itu dapat maksimalkan peran Kuala Tanjung sebagai hub internasional, sekaligus mendorong keterhubungan antara perkebunan rakyat dan kawasan industri seperti Sei Mangkei agar hilirisasi benar-benar terjadi di dalam daerah.
Sumatera Utara;2023;Daerah Relatif Tertinggal;4.9;5.2;4.9;5.0;5.0;5.0;68.3;2.2;1181.0;21574.0;-;"Pertanian; Perdagangan; Industri";75.1;-;5.9;-;Sumatera Utara menjadi pusat ekonomi regional dengan kekuatan di sektor Perdagangan dan Industri Pengolahan. Namun, pertumbuhan belum merata, di wilayah pantai timur cenderung berkembang pesat, sementara wilayah pantai barat cenderung tertinggal. Di sisi lain, efisiensi logistik masih belum optimal untuk bersaing di kawasan Selat Malaka.;Sumatera Utara perlu memperkuat integrasi logistik dan hilirisasi sawit. Selain itu dapat maksimalkan peran Kuala Tanjung sebagai hub internasional, sekaligus mendorong keterhubungan antara perkebunan rakyat dan kawasan industri seperti Sei Mangkei agar hilirisasi benar-benar terjadi di dalam daerah.
Sumatera Utara;2024;Daerah Relatif Tertinggal;4.9;4.9;5.2;5.1;5.0;5.2;73.6;2.1;1722.0;22446.0;-;"Pertanian; Perdagangan; Industri";75.8;7.2;5.6;0.306;Sumatera Utara menjadi pusat ekonomi regional dengan kekuatan di sektor Perdagangan dan Industri Pengolahan. Namun, pertumbuhan belum merata, di wilayah pantai timur cenderung berkembang pesat, sementara wilayah pantai barat cenderung tertinggal. Di sisi lain, efisiensi logistik masih belum optimal untuk bersaing di kawasan Selat Malaka.;Sumatera Utara perlu memperkuat integrasi logistik dan hilirisasi sawit. Selain itu dapat maksimalkan peran Kuala Tanjung sebagai hub internasional, sekaligus mendorong keterhubungan antara perkebunan rakyat dan kawasan industri seperti Sei Mangkei agar hilirisasi benar-benar terjadi di dalam daerah.
Sumatera Utara;2025;Daerah Relatif Tertinggal;4.7;4.7;4.6;4.2;4.5;5.2;78.3;4.7;1848.0;28960.0;"Lemak dan Minyak Hewan/Nabati; Berbagai Produk Kimia; Karet dan Barang dari Karet";"Pertanian; Industri; Akomodasi Makan Minum";76.5;7.2;5.3;0.283;Sumatera Utara menjadi pusat ekonomi regional dengan kekuatan di sektor Perdagangan dan Industri Pengolahan. Namun, pertumbuhan belum merata, di wilayah pantai timur cenderung berkembang pesat, sementara wilayah pantai barat cenderung tertinggal. Di sisi lain, efisiensi logistik masih belum optimal untuk bersaing di kawasan Selat Malaka.;Sumatera Utara perlu memperkuat integrasi logistik dan hilirisasi sawit. Selain itu dapat maksimalkan peran Kuala Tanjung sebagai hub internasional, sekaligus mendorong keterhubungan antara perkebunan rakyat dan kawasan industri seperti Sei Mangkei agar hilirisasi benar-benar terjadi di dalam daerah.
Sumatera Utara;2026;Daerah Relatif Tertinggal;5.0;-;-;-;5.0;-;-;0.0;-;-;-;-;-;-;-;-;Sumatera Utara menjadi pusat ekonomi regional dengan kekuatan di sektor Perdagangan dan Industri Pengolahan. Namun, pertumbuhan belum merata, di wilayah pantai timur cenderung berkembang pesat, sementara wilayah pantai barat cenderung tertinggal. Di sisi lain, efisiensi logistik masih belum optimal untuk bersaing di kawasan Selat Malaka.;Sumatera Utara perlu memperkuat integrasi logistik dan hilirisasi sawit. Selain itu dapat maksimalkan peran Kuala Tanjung sebagai hub internasional, sekaligus mendorong keterhubungan antara perkebunan rakyat dan kawasan industri seperti Sei Mangkei agar hilirisasi benar-benar terjadi di dalam daerah.
